id,episode,file,youtube_id,start_sec,end_sec,duration_sec,allin_rel_sec,decision_rel_sec,allin_type,audio_check,scene_cuts,longest_shot_sec,decision_split_ratio,verified,note
F1,15,F1_Ep15_Cates_vs_TexasMike_raw.mp4,ohZ_QSDcXI8,2008,2266,258,166,229,verbal,clean,34,20.9,0.5,首尾帧+底牌 UI（AdQc vs KsTc，board 3 2 3 K K 'Kings full of threes'）核对一致,"TM 河牌口头 'All in'（字幕 36:14）$30,350；Cates tank 后 call，输 $94,475 当日最大池"
F2,17,F2_Ep17_Tilly_vs_TexasMike_raw.mp4,ktr12z8J3Ho,1000.5,1193,192,116,172,chips,clean,10,57.0,0.0,首尾帧+底牌 UI（As8c vs KcQs，board A 8 Q Q 4）核对一致；集号确认见 ep16_17_offset_finding,"TM 河牌推筹码 all-in $19,850，音频核验决策窗口无口头宣布（NO_VERBAL）；Tilly 长 tank 'It's my birthday, I'm a pacifist' 后 fold（对）"
F3,10,F3_Ep10_XuanLiu_vs_Cates_raw.mp4,0KBnOFtBXwg,0,337,337,285,298,verbal,clean,36,10.2,0.0,整集开场即此手（HAND 104 已在进行，发牌未播出，故从 0s 起）；底牌 UI（JhJc vs Td8d，board J 2 9 7）核对一致；尾部止于 BetRivers 全屏广告前,"Cates 转牌 check-raise 口头 'I'm all in'（字幕 04:45）$36,475；Xuan 快速 call，输 $78,875 系列最大池（跑两次全输）"
F4,22,F4_Ep22_P3_vs_3Coin_raw.mp4,5ZOUgMDKYTs,9.0,217.0,208.0,167.0,195.5,"chips (3Coin river jam BET $4,750 displayed; no verbal cue seen)",clean,37,28.8,1.0,"panels PHILLIP QhQc ALL IN TO CALL vs 3COIN As7d BET $4,750, board Ah6d5h8h3c pot $8,675→$13,425, +$6,825 3COIN","HAND 60, first hand of episode; ep22 duplicate upload rUdGSSLk9VA is same 2528s content"
F5,25,F5_Ep25_KaneKalas_vs_Washburn_raw.mp4,LrNUV_Y8WfA,2003.0,2158.0,155.0,90.0,121.0,"chips (Washburn turn jam $7,225 into $8,750)",clean,30,10.1,0.0,"panels KALAS KhQd CALL $7,225 12% vs DJ WASHBURN 7h6h ALL IN $7,225 88%, board Ks4h8hJh pot $23,200; ran twice (As / 3s), +$11,700 WASHBURN",HAND 93
F6,29,F6_Ep29_Deeb_vs_Cates_raw.mp4,hyQuR-r-Owg,2434.7,2553.0,118.3,101.0,105.0,"chips (Cates river jam $14,025 after board pairs)",clean,19,4.5,0.0,"panels JUNGLEMAN KhKd ALL IN $14,025 vs DEEB Ac7d CALL $14,025, board Qd7s4hTdQh pot $46,350, +$23,325 JUNGLEMAN","HAND 116, final hand; end trimmed before CHIP COUNT UPDATE overlay"
F7,25,F7_Ep25_3Coin_vs_Matusow_raw.mp4,LrNUV_Y8WfA,9.44,165.0,155.56,122.5,128.5,"chips (Matusow turn bet $3,375 恰覆盖 hero 余码，3COIN 面板 ALL IN TO CALL)",clean,25,6.5,0.0,"首尾帧+RFID 面板核对：3COIN J♣9♦(+1) vs MATUSOW A♦K♣(BB)，turn board 3♦5♠A♠9♣ pot $6,100，jam $3,375（85% vs 15%），3Coin call off $3,375；river 10♥，Matusow +$4,725 pot $9,475；当集 HAND 2（开场第 1 个报道手）",决策窗口短（~6s call），无分屏；feishu_token=CFvWbDsCfouc7fxOdNNc8WRhnac
F8,18,F8_Ep18_TexasMike_vs_Washburn_raw.mp4,PAm_ci_ohz4,2424,2544,120,65,77,verbal,clean,12,4.6,0.6,首尾帧+底牌 UI（AdQd vs AsKs，board 4 Q 6 J 4）核对一致；尾部止于 Washburn rebuy 字卡前,"Washburn 翻前口头 'all in / go all in'（音频核验 rel≈65s）$16,550；TM 快速 call $14,350，AQ 逆转赢 AK"
F9,20,F9_Ep20_Matusow_vs_P3_raw.mp4,ifE0-Nfspso,573,789,216,111,133,verbal,clean,31,12.3,0.15,首尾帧+底牌 UI（Matusow Ah7h、P3 JsJd、3Coin 6h5h，flop 5 J 2）核对一致；尾部止于 GSR 转场 b-roll 前,"三人 all-in：P3 口头 'I'm all in'（字幕 11:32）$7,775 → 3Coin 跟进 4-bet all-in $6,825 → 主决策 Matusow 末位 'ALL IN TO CALL' call off（rel≈133s）。切片边界：从整手发牌（HAND 27）起，到两次 run-out 结束、主池+边池全部推给赢家并握手后止（abs≈765-788），三个 all-in 与两次跑牌全部包含"
F10,26,F10_Ep26_XuanLiu_vs_P3_raw.mp4,V-0M0L_7tS0,172.0,302.0,130.0,59.5,87.0,"verbal (Phillip 口头 'all in' @59.3-59.9 rel，HUD ALL IN $3,750 62 rel)",clean,15,18.4,0.0,"RFID 俯拍 @103 rel：XUAN K♠10♣ BB CALL $2,850 30% vs PHILLIP A♥K♥ D ALL IN $3,750 70%，pot $8,050；board 7dQh8s-3d-4s（A high 胜），winner 横幅 PHILLIP +$4,900 @122 rel；尾帧 129 rel Phillip 收池码牌、无 bumper（bumper/广告在 305+ 已排除）","当集第 1 手（HAND 4 计数牌）；$200 double straddle，Phillip limp $200 → Xuan raise $900 → Phillip limp-jam $3,750 total → Xuan tank ~25s call $2,850；feishu_token=N8x2bTtoXod61Axpg1BccYiZnpc"
T1,24,T1_Ep24_Hellmuth_vs_3Coin_raw.mp4,9TJWz24zhOw,378.0,741.0,363.0,64.5,346.0,"chips (3Coin instantly pushes chips, no verbal announce visible)",clean,69,27.0,0.4,"panels J♣8♦(3COIN ALL IN $12,950) vs 6♥4♥(HELLMUTH 91%), board Js8h6s6d, pot $14,800; fold@724abs, +$1,450 3COIN, rabbit Kh",full Ep24 found on @Pokernight: 9TJWz24zhOw (not in original TSV); 8min tank TV-compressed to ~5min; phone-slap moment included
T2,19,T2_Ep19_Cates_vs_TexasMike_raw.mp4,Cs1ftCcWLng,1155,1292,137,105,126,verbal,clean,16,23.0,0.8,首尾帧+底牌 UI（JhJc vs AcQc，board 2 4 T K 8）核对一致,"TM 口头 'I'm all in'（字幕 21:08），随后推注覆盖 Cates $58,775；Cates tank 后 call，赢 $162,850"
T3,23,T3_Ep23_P3_vs_3Coin_raw.mp4,hpWIoK1lu9Q,297.0,642.0,345.0,260.0,323.0,"chips (3Coin river jam $3,100; table talk during P3 tank)",clean,68,22.2,0.0,"panels PHILLIP Td9c CHECK / 3COIN As8c ALL IN $3,100 / HELLMUTH 8h7h, board 6d7s9h2cKc pot $8,000; Hellmuth folds rel~277, P3 folds rel~323, +$3,350 3COIN",HAND 5; 3-way; clip starts after BetRivers ad bumper
T4,22,T4_Ep22_KellyLucas_vs_Washburn_raw.mp4,5ZOUgMDKYTs,1283.0,1460.0,177.0,158.0,162.0,"chips (Washburn river all-in BET $11,825; Kelly snap ALL IN TO CALL)",clean,19,5.0,0.0,"panels DJ WASHBURN Qd9d BET $11,825 vs KELLY QsTh ALL IN TO CALL, board Td4dKs8c3s pot $21,600→$33,425 +$16,800 KELLY",HAND 83
T5,3,T5_Ep3_XuanLiu_vs_Cates_raw.mp4,UDrb4M5MLKA,6,354,348,184,338,verbal,clean,37,31.7,0.0,首尾帧+底牌 UI（AcTc vs J9，board T 8 4 8 K）核对一致,"Cates 口头 'So I'm going to go all in'（字幕 03:10）后下注 $16,475 覆盖；Xuan 长 tank 抛卡牌保护器后 fold（错）"
T6,28,T6_Ep28_NickHellmuth_vs_Deeb_raw.mp4,7uTMKGaG0Aw,468.0,582.5,114.5,89.0,,chips (timeline: 推出筹码+闭口),clean,20,18.5,1.0,"reused items/hand_0001/clip_raw.mp4 (pre-verified: AhKd vs Ts9s, board 8dAd2c7cQd)",
T7,15,T7_Ep15_Tilly_vs_TexasMike_raw.mp4,ohZ_QSDcXI8,1405.0,1668.5,263.5,171.0,250.0,"chips (Texas Mike 河牌推筹码 jam，面板 ALL IN $19,550)",clean,39,15.6,0.0,"首尾帧+RFID 面板核对：TILLY A♣K♦(SB) vs TEXAS MIKE Q♥10♣(D)，board A♦8♣4♦9♣4♠，jam $19,550 pot $53,350，Tilly 长 tank 后 call，+$37,050 pot $72,900；HAND 125，尾帧在 Hellmuth's Home Game 转场前",Tilly tank 约 80s（jam~1576abs → call~1655abs），期间说 'I'm not happy about this' 并要求计数（口播自检未检出旁白，桌面对话保留）；feishu_token=LAhkblicGowdL7xZHTzcB9gjnGu
